,word,Englishness,length
687,acapulco restaurants,30.935536189595368,19
688,transnational industries,29.80639981128025,23
689,dime savings bank ny fsb,18.162654253949604,20
690,dime bancorp,7.318795438496912,11
691,dime bancorp new,7.247626433118883,14
692,new york city shoes,5.067783197650039,16
693,peoples savings bank new brit ct,13.91427223447557,27
694,peoples savings financial,24.826639492139577,23
695,franklin computer,14.279230367236927,16
696,franklin electronic publshs,38.573971723493464,25
697,broad national bancorp,12.330879172915186,20
698,axlon,7.510383929865841,5
699,buffalo,10.143208959615999,7
700,cistron biotechnology,25.731374896676634,20
701,total health systems,19.250269071745052,18
702,atlantic refng,15.427529333888131,13
703,atlantic richfield,27.320197745754136,17
704,acceleration,12.857979107101787,12
705,accel international,13.774110156298239,18
706,watts industries,21.4961241552351,15
707,watts water technologies,27.70928762355556,22
708,merchantsbank boston coop bank,29.46300543943618,27
709,merchants capital,16.608197169519947,16
710,general kinetics,11.655381754044932,15
711,marble financial,12.703948142046,15
712,acme steel,6.298903542427771,9
713,acme metals,8.29430993032809,10
714,videoplex,15.639724832861656,9
715,northland bank of wi ssb,18.40675433840518,20
716,city saving bank ct,-1.2674136141505792,16
717,multi soft,4.2435545652697515,9
718,mccormick capital,21.96387521723382,16
719,atlas chemical industries,25.08303880197164,23
720,accu test sys,1.4594496426424626,11
721,pacific eastern,10.838070660161717,14
722,westerbeke,16.24436057633285,10
723,first republic bancorp,20.34584944778768,20
724,corporate management grp,22.021667123238057,22
725,jwgenesis financial,23.360035684222893,18
726,cascade international,19.093910991017122,20
727,le peep restaurants,13.458656470633603,17
728,tintoretto,16.299645850415654,10
729,frontier financial,19.757979187526246,17
730,frontier adjusters america,27.403692602883687,24
731,commerce bank ca,2.111447823878441,14
732,commercebancorp ca,23.116998008518944,17
