original_name,company_name,average_amount_of_letters,average_amount_of_syllables,abcde,middle,vwxyz,vowel_to_length_ratio,most repetitions,spelling_errors,is_short_name,sound,Englishness,length
AVERY DENNISON CORP,avery dennison,6.5,3.0,1,0,0,0.4615384615384615,3,0.0,1,d050,7.612254148817717,13
AVIATION GROUP INC,aviation,8.0,4.0,1,0,0,0.625,2,0.0,1,a103,4.82256252754573,8
Avnet Inc,avnet,5.0,2.0,1,0,0,0.4,1,1.0,1,a150,8.322645459657208,5
AVON PRODUCTS INC,avon products,6.0,2.0,1,0,0,0.3333333333333333,2,0.0,1,p603,13.062341841617547,12
AZZ Inc,azz,3.0,1.0,1,0,0,0.3333333333333333,2,1.0,1,a200,0.3400142063589078,3
BRT Apartments Corp,brt apartments,6.5,2.0,1,0,0,0.2307692307692307,3,0.0,1,a106,18.16785173196327,13
AZTEC RESOURCES CORP,aztec resources,7.0,2.5,1,0,0,0.4285714285714285,3,0.0,1,r020,25.560495035873117,14
SABA SOFTWARE INC,saba software,6.0,2.0,0,1,0,0.4166666666666667,3,0.0,1,s013,13.425249055131008,12
BRITISH AMERICAN TOBACCO PLC,british american tobacco,7.333333333333333,3.0,1,0,0,0.4090909090909091,3,0.0,0,a506,20.969552086302976,22
BILLY THE KID INC,billy the kid,3.6666666666666665,1.3333333333333333,1,0,0,0.3636363636363636,2,0.0,0,b040,-6.524024215554784,11
Knowledge Data Systems Inc,knowledge data systems,6.666666666666667,2.0,0,1,0,0.35,3,0.0,0,k504,25.538626940609586,20
KNOWLEDGE DATA SYSTEM INC,knowledge data system,6.333333333333333,2.0,0,1,0,0.3684210526315789,3,0.0,0,k504,21.16542822005927,19
Mid-Atlantic Realty Trust,midatlantic realty trust,7.333333333333333,2.6666666666666665,0,1,0,0.3636363636363636,5,0.3333333333333333,0,m030,19.306935178831857,22
MID ATLANTIC REALTY TRUST,mid atlantic realty trust,5.5,2.0,0,1,0,0.3636363636363636,5,0.0,0,a340,10.382998615221789,22
BURMA MINES LTD,burma mines,5.0,1.5,1,0,0,0.4,2,0.0,1,b065,2.392572634297923,10
BADGER METER INC,badger meter,5.5,2.0,1,0,0,0.3636363636363636,3,0.0,1,b032,2.7631261820977633,11
SABA CAPITAL INCOME & OPP FD II,saba capital income opp fd ii,4.0,1.6666666666666667,0,1,0,0.4583333333333333,4,0.0,0,c010,21.654749007562543,24
THAI FUND INC,thai,4.0,1.0,0,1,0,0.5,1,0.0,1,t000,2.168688339070062,4
BADGER PAPER MILLS INC,badger paper mills,5.333333333333333,1.6666666666666667,1,0,0,0.3125,2,0.0,0,b032,9.164319028538465,16
BAIRD CORP,baird,5.0,1.0,1,0,0,0.4,1,0.0,1,b063,2.211163804203718,5
Protective Insurance Corp,protective insurance,9.5,3.0,0,1,0,0.4210526315789473,3,0.0,1,p603,16.052631947722848,19
BEEHIVE INTERNATIONAL,beehive international,10.0,3.5,1,0,0,0.5,4,0.0,1,i530,22.30340939075287,20
BAKER HUGHES INC,baker hughes,5.5,1.5,1,0,0,0.3636363636363636,2,0.0,1,h020,7.311933205326165,11
Balchem Corp,balchem,7.0,2.0,1,0,0,0.2857142857142857,1,1.0,1,b042,8.45978513959274,7
BALDOR ELECTRIC CO,baldor electric,7.0,2.5,1,0,0,0.3571428571428571,2,0.5,1,e402,11.827874877278571,14
Ball Corporation,ball,4.0,1.0,1,0,0,0.25,2,0.0,1,b040,-1.3280893056499563,4
BALLY MANUFACTURING CORP,bally manufacturing,9.0,3.5,1,0,0,0.3888888888888889,3,0.0,1,m050,15.32599480573547,18
BALLY ENTERTAINMENT CORP,bally entertainment,9.0,3.0,1,0,0,0.3888888888888889,3,0.0,1,e530,15.49886372406938,18
BANPONCE CORP NEW,banponce new,5.5,1.5,1,0,0,0.3636363636363636,3,0.5,1,b051,12.378245437692376,11
POPULAR INC,popular,7.0,3.0,0,1,0,0.4285714285714285,2,0.0,1,p010,5.731150734366318,7
Bank of Hawaii Corp,bank of hawaii,4.0,1.6666666666666667,1,0,0,0.5,3,0.0,0,h000,6.06790071148946,12
BANCOHIO CORP,bancohio,8.0,3.0,1,0,0,0.5,2,1.0,1,b052,13.345385752513774,8
PROSHARES TRUST,proshares trust,7.0,2.0,0,1,0,0.2857142857142857,3,0.5,1,p602,11.39542844108898,14
PACIFIC CENTURY FINANCIAL CORP,pacific century financial,7.666666666666667,3.0,0,1,0,0.4347826086956521,4,0.0,0,f050,19.852505135536266,23
First Banks America Inc.,first banks america,5.666666666666667,2.0,0,1,0,0.3529411764705882,3,0.0,0,a506,13.318683255412074,17
UNITED KINGDOM FUND INC,united kingdom,6.5,2.5,0,1,0,0.3846153846153846,2,0.0,1,k052,7.356772801594531,13
BANCAL TRI ST CORP,bancal tri st,3.6666666666666665,1.3333333333333333,1,0,0,0.2727272727272727,2,0.0,0,b052,-7.006978657763192,11
REGIONAL FINANCIAL SHS IN FD INC,regional financial shs in fd,4.8,1.8,0,1,0,0.375,4,0.2,0,f050,21.108408727765365,24
