,word,Englishness,length
653,transcontinental realty invs,31.743057242346417,26
654,consolidated edison,18.39589511984553,18
655,consolidated edison ny,14.516360966839372,20
656,consolidated fibres,17.9925415392292,18
657,chicago north westn transn,28.92167140582987,23
658,chicago north western trans,18.28344392244799,24
659,benequity,6.9604808349447485,9
660,bristol hotel,9.014802358378262,12
661,bristol hotels resorts,21.34285139443488,20
662,biglari,10.799015280592474,7
663,cto realty growth,12.309450528149549,15
664,consolidated tomoka land,18.99772386017902,22
665,cms energy,11.032526655633191,9
666,consumers power,13.175756812930155,14
667,sumitomo bank ca,7.0474970082354735,14
668,consumers water,11.414504557707204,14
669,kuala healthcare,25.314841775414944,15
670,riverbend industries,26.977726258654165,19
671,continental materials,20.39321252065016,20
672,continental resources,25.9696547927689,20
673,clarion commercial,12.561551182621319,17
674,cooper bessemer,8.59748989241594,14
675,convergent technologies,29.655270992881746,22
676,convergent,7.898177758601041,10
677,conwed,3.0878792263482593,6
678,cooper resources energy,22.302042099256436,21
679,cooper tire rubber,8.199110832514549,16
680,cooper cos,0.6228965736250522,9
681,cooper companies,15.069543065217925,15
682,travelers aetna ppty cas,38.2797587243713,21
683,travelers ppty casualty,41.634620647445445,21
684,travelers ppty casualty new,41.56345164206741,24
685,molson coors brewing,15.30234860175432,18
686,molson coors beverage,19.334925217000258,19
687,cordyne,6.072148460051852,7
688,corning glass works,5.533184134273699,17
689,corning,2.4738535897647895,7
690,corporate data sciences,17.793234908804088,21
691,cosmo communications,23.239647351184658,19
692,courier,4.949445013221451,7
693,cracker barrel old country store,11.191935885515589,28
694,courier dispatch,12.868763513020863,15
695,courtaulds,19.269334319108165,10
696,cousins properties incorporated,32.98864350244514,29
697,cousins properties,19.332845024157866,17
698,cox resources,14.254402535363864,12
699,cracker barrel old ctry str,11.242600075336224,23
700,craddock terry shoe,11.425294690933779,17
701,crane,0.7476839321123456,5
702,crane new,0.6765149267343167,8
703,onemain,10.042250657197744,7
704,crestek,9.165728757002634,7
705,crestek new,9.094559751624605,10
706,crown,0.4079375594354986,5
707,costa,0.6294477146245177,5
708,brc,6.286620492670094,3
709,crown auto,0.7840042555700195,9
710,crown cork seal,-2.744264616448145,13
711,crown crafts,5.601159770935975,11
712,crump companies,15.53680603419744,14
713,culp,0.2446544278061502,4
714,curtiss wright,8.946368176119744,13
715,carborundum,16.680944797777563,11
716,cullen frost bankers,11.75872792180019,18
717,cumberland resources,28.625799311363547,19
718,cumberland gold,14.338719021870949,14
719,chicago musical instr,18.452501863412643,19
720,continental mortgage investors,34.516135229679435,28
721,club med,-2.0494320779947803,7
722,complete management,15.35244182703228,18
723,cummins,9.262052083077945,7
724,dna med,0.5822590110213524,6
725,wendys,8.284716614579256,6
726,wentworth manufacturing,30.815614508933322,22
727,wendys international,19.533168881643743,19
728,wendys arbys,14.087881223220759,11
729,dahlberg,19.729099571204664,8
730,daig,4.726269597115177,4
731,dakota resources,25.514918530734423,15
732,dale electronics,12.74929183241633,15
733,damon biotech,11.507345032854138,12
734,daniel industries,22.44458001252766,16
735,dana,1.1027625697735837,4
736,danaher,8.804467775263923,7
737,danners,9.390006579803263,7
738,inrange technologies,31.14013702012285,19
739,dataflex,16.654084779705702,8
740,datakey,8.684791363500327,7
741,data term sys,-1.5086497699410208,11
742,media,0.6168726913094555,5
743,target,5.367748409777134,6
744,datacopy,11.245879240747477,8
745,datum,2.8393358269392746,5
746,datascope,13.725271376159018,9
747,datasouth computer,22.03948179341097,17
748,datatron,9.175860399207082,8
749,scientific technologies,31.467454195005534,22
750,datron,4.158630184489853,6
751,datronic rental,8.068000636236338,14
752,dauphin deposit,18.39012766994662,14
753,david jamison carlyle,17.328613774053522,19
754,david minerals,14.403957421406977,13
755,davis water waste,2.4183743576322385,15
756,dawson geophysical,18.041696048122386,17
757,dawson geophysical new,17.970527042744358,20
758,daxor,6.219183521356486,5
759,tenneco,10.419051828180216,7
760,dean witter reynolds organization,25.781020771789073,30
