,original_name,company_name,average_amount_of_letters,average_amount_of_syllables,abcde,middle,vwxyz,vowel_to_length_ratio,most repetitions,spelling_errors,is_short_name,sound
14484,POWERDSINE LTD,powerdsine,10.0,3.0,0,1,0,0.4,2,1.0,1,p063
14485,ABINGTON CMNTY BANCORP INC,abington cmnty bancorp,6.666666666666667,2.0,1,0,0,0.3,4,0.6666666666666666,0,a105
14486,ABINGTON BANCORP INC PA,abington bancorp pa,5.666666666666667,2.0,1,0,0,0.35294117647058826,3,0.3333333333333333,0,a105
14487,Innoviva Inc,innoviva,8.0,4.0,0,1,0,0.5,2,1.0,1,i501
14488,HYSTER YALE MATERIALS HANDLG INC,hyster yale materials handlg,6.25,2.0,0,1,0,0.4,4,0.25,0,m030
14489,HYSTER YALE INC,hyster yale,5.0,1.5,0,1,0,0.5,2,0.0,1,h023
14490,WESTLAKE CORP,westlake,8.0,2.0,0,0,1,0.375,2,1.0,1,w023
14491,DIAMONDROCK HOSPITALITY CO,diamondrock hospitality,11.0,4.0,1,0,0,0.4090909090909091,3,0.5,1,d050
14492,iShares Morningstar Growth ETF,ishares morningstar growth,8.0,2.3333333333333335,0,1,0,0.2916666666666667,4,0.3333333333333333,0,m065
14493,EATON VANCE ENHANCED EQU INC FD,eaton vance enhanced equ fd,4.6,1.6,1,0,0,0.43478260869565216,5,0.2,0,e505
14494,COFFEE HOLDING CO INC,coffee,6.0,2.0,1,0,0,0.5,2,0.0,1,c010
14495,iShares Morningstar US Equity ETF,ishares morningstar us equity,6.5,2.5,0,1,0,0.4230769230769231,4,0.25,0,m065
14496,EATON VANCE FLOATING RATE INC TR,eaton vance floating rate tr,4.8,1.4,1,0,0,0.4166666666666667,4,0.0,0,f403
14497,First Trust Energy Income and Growth Fund,first trust energy income and growth,5.166666666666667,1.5,0,1,0,0.3225806451612903,4,0.0,0,e506
14498,FIRST TRUST ENERGY INC & GR FD,first trust energy gr fd,4.0,1.4,0,1,0,0.25,4,0.0,0,e506
14499,Signature Bank,signature bank,6.5,2.0,0,1,0,0.38461538461538464,2,0.0,1,s025
14500,51job Inc,job,3.0,1.0,0,1,0,0.3333333333333333,1,0.0,1,j010
14501,MIRATI THERAPEUTICS INC,mirati therapeutics,9.0,3.5,0,1,0,0.4444444444444444,3,0.5,1,t060
14502,Cyclacel Pharmaceuticals Inc,cyclacel pharmaceuticals,11.5,4.0,1,0,0,0.391304347826087,5,0.5,1,p065
14503,Specialty Underwriters Alliance Inc,specialty underwriters alliance,9.666666666666666,3.3333333333333335,0,1,0,0.41379310344827586,4,0.0,0,u530
14504,CENTERRA GOLD INC,centerra gold,6.0,2.0,1,0,0,0.3333333333333333,2,0.5,1,c053
14505,River City Bank,river city bank,4.333333333333333,1.6666666666666667,0,1,0,0.38461538461538464,2,0.0,0,r010
14506,FIRST CLOVER LEAF FINANCIAL CORP,first clover leaf financial,6.0,1.75,0,1,0,0.375,3,0.0,0,f050
14507,IKANOS COMMUNICATIONS INC,ikanos communications,10.0,4.0,0,1,0,0.45,3,0.5,1,c050
14508,Local Corp,local,5.0,2.0,0,1,0,0.4,2,0.0,1,l020
14509,iShares Morningstar Value ETF,ishares morningstar value,7.666666666666667,2.6666666666666665,0,1,0,0.391304347826087,3,0.3333333333333333,0,m065
14510,JAMDAT MOBILE INC,jamdat mobile,6.0,2.0,0,1,0,0.4166666666666667,2,0.5,1,j053
14511,INTERNATIONAL SECURITIES EXCH IN,international securities exch in,7.25,2.75,0,1,0,0.4482758620689655,5,0.0,0,i530
14512,INTERNATIONAL SECS EXCH HLDGS IN,international secs exch hldgs in,5.6,1.8,0,1,0,0.32142857142857145,4,0.2,0,i530
14513,SUFFOLK FIRST BANK VA,suffolk first bank va,4.5,1.25,0,1,0,0.2777777777777778,3,0.0,0,s010
14514,FIRST BANCSHARES INC VA,first bancshares va,5.666666666666667,1.3333333333333333,0,1,0,0.29411764705882354,3,0.3333333333333333,0,b052
14515,TOP SHIPS INC,top ships,4.0,1.0,0,1,0,0.25,2,0.0,1,s012
14516,Arbinet Corp,arbinet,7.0,3.0,1,0,0,0.42857142857142855,1,1.0,1,a610
14517,ORMAT TECHNOLOGIES INC,ormat technologies,8.5,3.0,0,1,0,0.4117647058823529,3,0.5,1,t020
14518,ARBINET THEXCHANGE INC,arbinet thexchange,8.5,2.5,1,0,0,0.35294117647058826,3,1.0,1,t020
14519,Monolithic Power Systems Inc,monolithic power systems,7.333333333333333,2.6666666666666665,0,1,0,0.36363636363636365,3,0.0,0,m050
14520,MONOLITHIC PWR SYS INC,monolithic pwr sys,5.333333333333333,2.0,0,1,0,0.3125,2,0.3333333333333333,0,m050
14521,ODIMO INC,odimo,5.0,3.0,0,1,0,0.6,2,1.0,1,o305
14522,CELEBRATE EXPRESS INC,celebrate express,8.0,2.5,1,0,0,0.375,5,0.0,1,c040
14523,ACCESS NATIONAL CORP,access national,7.0,2.5,1,0,0,0.42857142857142855,3,0.0,1,n030
14524,DOLLAR FINANCIAL CORP,dollar financial,7.5,2.5,1,0,0,0.4,3,0.0,1,f050
14525,ENERSYS,enersys,7.0,3.0,1,0,0,0.42857142857142855,2,1.0,1,e506
14526,SYNERON MEDICAL LTD,syneron medical,7.0,3.0,0,1,0,0.42857142857142855,2,0.5,1,s050
14527,Diana Shipping Inc,diana shipping,6.5,2.5,1,0,0,0.38461538461538464,3,0.0,1,s010
14528,OPTIONSXPRESS HOLDINGS INC,optionsxpress,13.0,3.0,0,1,0,0.3076923076923077,3,1.0,1,o130
14529,CABG MEDICAL INC,cabg medical,5.5,2.0,1,0,0,0.36363636363636365,2,0.5,1,m030
14530,ECOST COM INC,ecost com,4.0,1.5,1,0,0,0.375,2,0.5,1,e202
14531,CLOUGH GLOBAL ALLOCATION FUND,clough global allocation,7.333333333333333,2.3333333333333335,1,0,0,0.4090909090909091,5,0.0,0,a402
14532,CLOUGH GLOBAL DIV & INCOME FUND,clough global div income,5.25,1.5,1,0,0,0.38095238095238093,3,0.0,0,c402
14533,PREMIUM STANDARD FARMS INC,premium standard farms,6.666666666666667,2.0,0,1,0,0.3,3,0.0,0,s305
14534,XAI Madison Equity Premium Income Fund,xai madison equity premium income,5.8,2.4,0,0,1,0.5172413793103449,5,0.2,0,m030
14535,MADISON CLAYMORE COVRD CALL & EQ,madison claymore covrd call eq,5.2,1.6,0,1,0,0.38461538461538464,3,0.2,0,c405
14536,MADISON COVERED CALL & EQ STR FD,madison covered call eq str fd,4.166666666666667,1.5,0,1,0,0.32,3,0.0,0,m030
14537,FLOATING RATE INC STRAT FD II IN,floating rate strat fd ii in,3.8333333333333335,1.1666666666666667,0,1,0,0.391304347826087,4,0.16666666666666666,0,f403
14538,BLACKROCK FLOAT RT INC STRAT II,blackrock float rt strat ii,4.6,1.2,1,0,0,0.30434782608695654,4,0.4,0,b402
14539,Nuveen Floating Rate Income Opportunity Fund,nuveen floating rate income opportunity,7.0,2.4,0,1,0,0.45714285714285713,5,0.2,0,o106
14540,NUVEEN FLOATING RATE INC OPP FD,nuveen floating rate opp fd,4.6,1.4,0,1,0,0.391304347826087,3,0.2,0,f403
14541,SPECIALTY UNDERWRITERS ALL INC,specialty underwriters all,8.0,2.6666666666666665,0,1,0,0.375,3,0.0,0,u530
14542,NATIONAL ATLANTIC HOLDINGS CORP,national atlantic,8.0,3.0,0,1,0,0.4375,4,0.0,1,n030
14543,CALAMOS ASSET MANAGEMENT INC,calamos asset management,7.333333333333333,2.6666666666666665,1,0,0,0.4090909090909091,5,0.3333333333333333,0,m050
14544,CubeSmart,cubesmart,9.0,3.0,1,0,0,0.3333333333333333,1,1.0,1,c010
14545,DIGITAL REALTY TRUST INC,digital realty trust,6.0,2.3333333333333335,1,0,0,0.3888888888888889,4,0.0,0,d020
14546,ADVANCE AMERICA CASH ADV CTRS IN,advance america cash adv ctrs in,4.5,1.6666666666666667,1,0,0,0.37037037037037035,6,0.16666666666666666,0,a310
14547,NANOVIRICIDES INC,nanoviricides,13.0,6.0,0,1,0,0.46153846153846156,3,1.0,1,n050
14548,NAUGATUCK VLY FINANCIAL CORP,naugatuck vly financial,7.0,2.3333333333333335,0,1,0,0.42857142857142855,4,0.3333333333333333,0,n020
14549,NAUGATUCK VLY FINANCIAL CORP MD,naugatuck vly financial md,5.75,2.0,0,1,0,0.391304347826087,4,0.25,0,n020
14550,BAYCOM CORP,baycom,6.0,2.0,1,0,0,0.5,1,1.0,1,b020
14551,ADEZA BIOMEDICAL CORP,adeza biomedical,7.5,4.0,1,0,0,0.5333333333333333,3,0.5,1,b050
14552,HEARTLAND PAYMENT SYSTEMS INC,heartland payment systems,7.666666666666667,2.0,0,1,0,0.34782608695652173,3,0.0,0,h063
14553,AMERICAN CAMPUS COMMUNITIES INC,american campus communities,8.333333333333334,3.3333333333333335,1,0,0,0.44,4,0.0,0,c050
14554,TearLab Corp,tearlab,7.0,2.0,0,1,0,0.42857142857142855,2,1.0,1,t064
14555,COMSTOCK HOMEBUILDING COS INC,comstock homebuilding cos,7.666666666666667,2.0,1,0,0,0.34782608695652173,4,0.0,0,h050
