original_name,company_name,average_amount_of_letters,average_amount_of_syllables,abcde,middle,vwxyz,vowel_to_length_ratio,most repetitions,spelling_errors,is_short_name,sound,Englishness,length
NEW YORK CITY REIT INC,new york city reit,3.75,1.25,0,1,0,0.4666666666666667,2,0.0,0,y062,1.114874273105896,15
AMERICAN STRATEGIC INVESTMENT CO,american strategic investment,9.0,3.3333333333333335,1,0,0,0.3703703703703703,4,0.0,0,i510,26.39667120377078,27
NUVEEN DYNAMIC MUNICIPAL OPP FD,nuveen dynamic municipal opp fd,5.4,2.2,0,1,0,0.4074074074074074,4,0.2,0,m050,40.315929373888586,27
OAK STREET HEALTH INC,oak street health,5.0,1.0,0,1,0,0.4,3,0.0,0,s360,12.053593300326655,15
PANACEA ACQUISITION CORP,panacea acquisition,9.0,4.0,0,1,0,0.5555555555555556,4,0.0,1,a202,16.924077265080985,18
NUVATION BIO INC,nuvation bio,5.5,2.5,0,1,0,0.5454545454545454,2,0.5,1,n010,8.451682037267862,11
BUCKEYE FEDERAL SVGS & LN ASSN,buckeye federal svgs ln assn,4.8,1.6,1,0,0,0.3333333333333333,4,0.0,0,b020,33.221497621089924,24
TRUST FOR ADVISED PORTFOLIOS,trust for advised portfolios,6.25,2.0,0,1,0,0.36,4,0.0,0,p063,19.657360426319425,25
XPENG INC,xpeng,5.0,1.0,0,0,1,0.2,1,1.0,1,x105,8.304789217920769,5
TREBIA ACQUISITION CORP,trebia acquisition,8.5,3.0,0,1,0,0.5294117647058824,4,0.5,1,a202,15.275722397356777,17
SYSTEM1 INC,system,6.0,2.0,0,1,0,0.3333333333333333,2,0.0,1,s023,7.16165953372453,6
TRANS WORLD AIRLINES INC,trans world airlines,6.0,1.3333333333333333,0,1,0,0.3333333333333333,3,0.0,0,a064,15.201728598025024,18
BUCKEYE FINANCIAL CORP,buckeye financial,8.0,2.5,1,0,0,0.5,2,0.0,1,f050,17.462225168199872,16
ACUTUS MEDICAL INC,acutus medical,6.5,3.0,1,0,0,0.4615384615384615,2,0.5,1,m030,8.679111287932939,13
ARYA SCIENCES ACQ CORP III,arya sciences acq iii,4.5,1.75,1,0,0,0.5555555555555556,4,0.25,0,s205,19.464343193423904,18
NAUTILUS BIOTECHNOLOGY INC,nautilus biotechnology,10.5,4.5,0,1,0,0.4761904761904761,3,0.0,1,b030,32.01756960459662,21
APPLIED UV INC,applied uv,4.5,1.5,1,0,0,0.4444444444444444,2,0.0,1,a140,7.094681089976021,9
APPLIED UV INC NEW,applied uv new,4.0,1.3333333333333333,1,0,0,0.4166666666666667,2,0.0,0,a140,7.023512084597992,12
CHECKMATE PHARMACEUTICALS INC,checkmate pharmaceuticals,12.0,3.5,1,0,0,0.375,4,0.0,1,p065,35.64024576481584,24
FLUX POWER HOLDINGS INC,flux power,4.5,1.5,0,1,0,0.3333333333333333,1,0.0,1,p060,0.9546708702061246,9
BUCKEYE INTERNATIONAL INC,buckeye international,10.0,3.5,1,0,0,0.5,3,0.0,1,i530,18.406315534885607,20
FREELINE THERAPEUTICS HLDGS PLC,freeline therapeutics hldgs,8.333333333333334,2.3333333333333335,0,1,0,0.36,5,0.6666666666666666,0,t060,44.46164081648385,25
FS DEVELOPMENT CORP,fs development,6.5,2.0,0,1,0,0.3076923076923077,3,0.0,1,d010,25.304399311829805,13
GEMINI THERAPEUTICS INC,gemini therapeutics,9.0,3.5,0,1,0,0.4444444444444444,3,0.0,1,t060,23.82229778896692,18
DISC MEDICINE INC,disc medicine,6.0,2.0,1,0,0,0.4166666666666667,3,0.0,1,m030,9.785207258469628,12
GREENPOWER MOTOR CO INC,greenpower motor,7.5,2.5,0,1,0,0.4,3,0.5,1,g605,19.05437343833494,15
GREENCITY ACQUISITION CORP,greencity acquisition,10.0,3.5,0,1,0,0.5,4,0.5,1,a202,20.886472968508805,20
HARBOR CUSTOM DEVELOPMENT INC,harbor custom development,7.666666666666667,2.6666666666666665,0,1,0,0.3478260869565217,3,0.0,0,d010,24.322029990134105,23
HIGHPEAK ENERGY INC,highpeak energy,7.0,2.5,0,1,0,0.4285714285714285,3,0.5,1,h020,21.536057840444187,14
MISSION CORP,mission,7.0,2.0,0,1,0,0.4285714285714285,2,0.0,1,m020,3.208798852429251,7
BUCKINGHAM MOTOR IMPORTS LTD,buckingham motor imports,7.333333333333333,2.3333333333333335,1,0,0,0.3181818181818182,3,0.0,0,b020,23.277575865879136,22
HARMONY BIOSCIENCES HLDGS INC,harmony biosciences hldgs,7.666666666666667,3.0,0,1,0,0.3478260869565217,3,0.3333333333333333,0,b020,44.05460877019226,23
ORCHESTRA BIOMED HOLDINGS INC,orchestra biomed,7.5,3.0,0,1,0,0.4,2,0.5,1,o620,15.400405587643007,15
IBEX LTD,ibex,4.0,2.0,0,1,0,0.5,1,0.0,1,i102,8.159687472999435,4
INHIBRX INC,inhibrx,7.0,2.0,0,1,0,0.2857142857142857,2,1.0,1,i501,15.574723990020134,7
KUBIENT INC,kubient,7.0,2.0,0,1,0,0.4285714285714285,1,1.0,1,k010,9.598681938103498,7
ACME STL CO,acme stl,3.5,1.5,1,0,0,0.2857142857142857,1,0.0,1,a250,4.188786747080684,7
CORVUS GOLD INC,corvus gold,5.0,1.5,1,0,0,0.3,2,0.0,1,c061,7.609985483599488,10
MOUNTAIN CREST ACQ CORP,mountain crest acq,5.333333333333333,1.3333333333333333,0,1,0,0.375,2,0.3333333333333333,0,m053,10.666975510542745,16
PLBY GROUP INC,plby,4.0,1.0,0,1,0,0.25,1,1.0,1,p410,6.996962738738665,4
MEDICENNA THERAPEUTICS CORP,medicenna therapeutics,10.5,4.0,0,1,0,0.4285714285714285,4,0.5,1,t060,30.292546774132376,21
MALACCA STRAITS ACQ CO LTD,malacca straits acq,5.666666666666667,1.6666666666666667,0,1,0,0.3529411764705882,5,0.3333333333333333,0,m040,19.537218374146164,17
OLB GROUP INC,olb,3.0,1.0,0,1,0,0.3333333333333333,1,1.0,1,o410,4.673676690592981,3
PROPERTY SOLUTIONS ACQ CORP,property solutions acq,6.666666666666667,2.3333333333333335,0,1,0,0.4,3,0.3333333333333333,0,s040,17.529555457682342,20
FARADAY FUTURE INTEL ELCTRC INC,faraday future intel elctrc,6.0,2.0,0,1,0,0.4166666666666667,3,0.25,0,f060,35.947117881397155,24
SUN BIOPHARMA INC,sun biopharma,6.0,2.0,0,1,0,0.4166666666666667,2,0.5,1,b010,11.061175570966787,12
PANBELA THERAPEUTICS INC,panbela therapeutics,9.5,3.5,0,1,0,0.4210526315789473,3,0.5,1,t060,26.290781744161585,19
PANBELA THERAPEUTICS INC NEW,panbela therapeutics new,7.333333333333333,2.6666666666666665,0,1,0,0.4090909090909091,4,0.3333333333333333,0,t060,26.219612738783557,22
VISTAS MEDIA ACQUISITION CO INC,vistas media acquisition,7.333333333333333,3.0,0,0,1,0.5,5,0.0,0,a202,16.621451893177444,22
OUTSET MEDICAL INC,outset medical,6.5,2.5,0,1,0,0.4615384615384615,2,0.0,1,m030,10.435388655137515,13
SNOWFLAKE INC,snowflake,9.0,2.0,0,1,0,0.3333333333333333,1,0.0,1,s501,15.414226372671571,9
STEPSTONE GROUP INC,stepstone,9.0,2.0,0,1,0,0.3333333333333333,2,0.0,1,s301,14.09039659033254,9
JFROG LTD,jfrog,5.0,1.0,0,1,0,0.2,1,1.0,1,j160,22.843775144579087,5
AMERICAN WELL CORP,american well,6.0,2.5,1,0,0,0.4166666666666667,2,0.0,1,a506,6.3857166541173385,12
BROADSTONE NET LEASE INC,broadstone net lease,6.0,1.3333333333333333,1,0,0,0.4444444444444444,4,0.3333333333333333,0,b603,14.935042608910166,18
PACTIV EVERGREEN INC,pactiv evergreen,7.5,2.5,0,1,0,0.4,4,0.5,1,e106,19.79269355893798,15
SUMO LOGIC INC,sumo logic,4.5,2.0,0,1,0,0.4444444444444444,2,0.0,1,l020,1.1558879371765625,9
RATNERS GROUP PLC,ratners,7.0,2.0,0,1,0,0.2857142857142857,2,1.0,1,r035,10.89201983939496,7
SIGNET GROUP PLC,signet,6.0,2.0,0,1,0,0.3333333333333333,1,0.0,1,s025,4.343801082972082,6
SUNDANCE ENERGY AUSTRALIA LTD,sundance energy australia,7.666666666666667,2.6666666666666665,0,1,0,0.4782608695652174,4,0.0,0,a023,21.452520923081416,23
ALDENS INC,aldens,6.0,2.0,1,0,0,0.3333333333333333,1,1.0,1,a430,7.214255481467259,6
BUFFELSFONTEIN GOLD MNG LTD,buffelsfontein gold mng,7.0,2.0,1,0,0,0.2857142857142857,3,0.6666666666666666,0,b010,36.47343571294039,21
PROFICIENT ALPHA ACQ CORP,proficient alpha acq,6.0,2.0,0,1,0,0.3888888888888889,3,0.3333333333333333,0,p601,15.539916069517204,18
HEIDEMIJ NV,heidemij,8.0,3.0,0,1,0,0.5,2,1.0,1,h030,15.163313655503066,8
ARCADIS NV ARNHEM,arcadis arnhem,6.5,2.5,1,0,0,0.3846153846153846,3,0.5,1,a620,16.80050714369288,13
LOGITECH INTERNATIONAL SA,logitech international,10.5,4.0,0,1,0,0.4285714285714285,3,0.5,1,i530,20.8580704371174,21
ICON PLC,icon,4.0,2.0,0,1,0,0.5,1,0.0,1,i205,0.0183115190274831,4
SOHU COM INC,sohu com,3.5,1.5,0,1,0,0.4285714285714285,2,0.5,1,s000,1.463948769498649,7
NATOMAS CO,natomas,7.0,3.0,0,1,0,0.4285714285714285,2,1.0,1,n030,6.9455381374421155,7
