,original_name,company_name,average_amount_of_letters,average_amount_of_syllables,abcde,middle,vwxyz,vowel_to_length_ratio,most repetitions,spelling_errors,is_short_name,sound
147,ONE VALLEY BANCORP WEST VA INC,one valley bancorp west va,4.4,1.4,0,1,0,0.4090909090909091,3,0.2,0,b052
148,ONE VALLEY BANCORP INC,one valley bancorp,5.333333333333333,1.6666666666666667,0,1,0,0.4375,2,0.3333333333333333,0,b052
149,PARIS BUSINESS FORMS INC,paris business forms,6.0,1.6666666666666667,0,1,0,0.3333333333333333,5,0.0,0,b020
150,LA MAN CORP,la man,2.5,1.0,0,1,0,0.4,2,0.0,1,m050
151,DISPLAY TECHNOLOGIES INC,display technologies,9.5,3.0,1,0,0,0.42105263157894735,2,0.0,1,t020
152,NEWNAN SAVINGS BANK FSB,newnan savings bank fsb,5.0,1.5,0,1,0,0.25,5,0.5,0,s010
153,NEWNAN HOLDINGS INC,newnan,6.0,2.0,0,1,0,0.3333333333333333,3,1.0,1,n050
154,FIRST CITIZENS CORP,first citizens,6.5,2.0,0,1,0,0.3076923076923077,3,0.0,1,c030
155,NATIONAL INDUSTRIAL BANCORP INC,national industrial bancorp,8.333333333333334,3.0,0,1,0,0.4,4,0.3333333333333333,0,i530
156,TELEQUEST INC,telequest,9.0,3.0,0,1,0,0.4444444444444444,3,1.0,1,t040
157,EMPIRE GAS CORP NEW,empire gas new,4.0,1.6666666666666667,1,0,0,0.4166666666666667,3,0.0,0,e510
158,FIRST FEDERAL SVGS ARKANSAS FA,first federal svgs arkansas fa,5.2,1.8,0,1,0,0.3076923076923077,5,0.0,0,a620
159,COMMUNICATION CABLE INC,communication cable,9.0,3.5,1,0,0,0.4444444444444444,3,0.0,1,c050
160,ALLEGHENY POWER SYSTEMS INC,allegheny power systems,7.0,2.6666666666666665,1,0,0,0.38095238095238093,4,0.0,0,a402
161,ALLEGHENY ENERGY INC,allegheny energy,7.5,3.5,1,0,0,0.4666666666666667,4,0.0,1,a402
162,ADMIRAL FINANCIAL CORP,admiral financial,8.0,3.0,1,0,0,0.4375,4,0.0,1,f050
163,SEALRIGHT COMPANY INC,sealright company,8.0,2.5,0,1,0,0.375,2,0.5,1,s046
164,GANDER MOUNTAIN INC,gander mountain,7.0,2.0,0,1,0,0.42857142857142855,3,0.0,1,m053
165,IMTEC INC,imtec,5.0,2.0,0,1,0,0.4,1,1.0,1,i530
166,ONCOGENE SCIENCE INC,oncogene science,7.5,2.5,0,1,0,0.4666666666666667,4,0.0,1,o520
167,NATIONAL INSTITUTE CAREERS INC,national institute careers,8.0,2.6666666666666665,0,1,0,0.4583333333333333,4,0.0,0,i523
168,ALLIED CHEMICAL CORP,allied chemical,7.0,2.5,1,0,0,0.42857142857142855,3,0.0,1,c050
169,ALLIED CORP,allied,6.0,2.0,1,0,0,0.5,2,0.0,1,a403
170,ALLIED SIGNAL INC,allied signal,6.0,2.0,1,0,0,0.4166666666666667,3,0.0,1,a403
171,HONEYWELL INTERNATIONAL INC,honeywell international,11.0,4.0,0,1,0,0.45454545454545453,4,0.0,1,i530
172,APPLICATION ENGR CORP,application engr,7.5,2.5,1,0,0,0.4,2,0.0,1,a140
173,TRADITIONAL INDUSTRIES INC,traditional industries,10.5,3.5,0,1,0,0.42857142857142855,4,0.0,1,t603
174,EAGLE BANCSHARES INC,eagle bancshares,7.5,2.0,1,0,0,0.4,3,0.5,1,b052
175,TRANS LEASING INTL INC,trans leasing intl,5.333333333333333,1.3333333333333333,0,1,0,0.3125,3,0.0,0,l020
176,TLII LIQUIDATING CORP,tlii liquidating,7.5,2.5,0,1,0,0.4666666666666667,5,0.5,1,l020
177,ADVANCE DISPLAY TECHNOLOGIES INC,advance display technologies,8.666666666666666,2.6666666666666665,1,0,0,0.4230769230769231,3,0.0,0,t020
178,ALLIS CHALMERS MFG CO,allis chalmers mfg,5.333333333333333,1.6666666666666667,1,0,0,0.25,3,0.0,0,c045
179,ALLIS CHALMERS CORP,allis chalmers,6.5,2.0,1,0,0,0.3076923076923077,3,0.0,1,c045
180,AMERICAN ELECTR LABS INC,american electr labs,6.0,2.3333333333333335,1,0,0,0.3888888888888889,3,0.0,0,a506
181,ELECTRIC & GAS TECHNOLOGY INC,electric gas technology,7.0,2.6666666666666665,1,0,0,0.38095238095238093,3,0.0,0,t020
182,HANSON JOHN SAVINGS BANK FSB,hanson john savings bank fsb,4.8,1.4,0,1,0,0.25,5,0.2,0,s010
183,HANSON JOHN BANCORP INC,hanson john bancorp,5.666666666666667,1.6666666666666667,0,1,0,0.29411764705882354,4,0.3333333333333333,0,b052
184,NORTH SIDE SAVINGS BANK BRONX,north side savings bank bronx,5.0,1.2,0,1,0,0.28,4,0.0,0,s010
185,AMERESCO INC,ameresco,8.0,4.0,1,0,0,0.5,2,1.0,1,a506
186,INTERFERENCE CONTROL TECHS IND,interference control techs ind,6.75,2.0,0,1,0,0.3333333333333333,5,0.0,0,i530
187,SANDSPORT DATA SERVICES INC,sandsport data services,7.0,2.3333333333333335,0,1,0,0.3333333333333333,4,0.3333333333333333,0,s053
188,SANDATA INC,sandata,7.0,3.0,0,1,0,0.42857142857142855,3,1.0,1,s053
189,SANDATA TECHNOLOGIES,sandata technologies,9.5,3.5,0,1,0,0.42105263157894735,3,0.5,1,t020
190,AMERICAN METAL CLIMAX INC,american metal climax,6.333333333333333,2.6666666666666665,1,0,0,0.42105263157894735,4,0.0,0,a506
191,AMAX INC,amax,4.0,2.0,1,0,0,0.5,2,1.0,1,a502
192,CAMBRIDGE ANALYTICAL ASSOC INC,cambridge analytical assoc,8.0,3.0,1,0,0,0.4166666666666667,5,0.0,0,a504
193,LAFAYETTE BANCORP INC,lafayette bancorp,8.0,2.5,0,1,0,0.4375,3,0.5,1,l010
194,LONG LAKE ENERGY CORP,long lake energy,4.666666666666667,1.6666666666666667,0,1,0,0.42857142857142855,3,0.0,0,e506
195,ENCHANTED VILLAGE INC,enchanted village,8.0,2.5,1,0,0,0.375,3,0.0,1,e520
196,ARNOX CORP,arnox,5.0,2.0,1,0,0,0.4,1,1.0,1,a650
197,SPORTS MARKETING INC,sports marketing,7.5,2.0,0,1,0,0.26666666666666666,2,0.0,1,m062
198,FAMILY STEAK HOUSES FL INC,family steak houses fl,4.75,1.75,0,1,0,0.42105263157894735,3,0.0,0,f050
199,CHARTWELL GROUP LTD,chartwell,9.0,2.0,1,0,0,0.2222222222222222,2,1.0,1,c063
200,GRANITE COOP BK NORTH QUINCY MA,granite coop bk north quincy ma,4.333333333333333,1.3333333333333333,0,1,0,0.38461538461538464,3,0.0,0,g605
201,SEABOARD BANCORP INC,seaboard bancorp,7.5,2.0,0,1,0,0.4,3,0.5,1,s010
202,JEFFERSON NATIONAL BANK NY,jefferson national bank ny,5.75,2.0,0,1,0,0.391304347826087,5,0.0,0,j010
203,BARRYS JEWELERS INC,barrys jewelers,7.0,2.5,1,0,0,0.35714285714285715,3,0.5,1,j040
204,THERMAL EXPLORATION CO,thermal exploration,9.0,3.0,0,1,0,0.3888888888888889,2,0.0,1,e214
205,INVESTMENT RES & TECHNOLOGY INC,investment res technology,7.666666666666667,2.6666666666666665,0,1,0,0.34782608695652173,4,0.0,0,i510
206,SPEAR FINANCIAL SERVICES INC,spear financial services,7.333333333333333,2.3333333333333335,0,1,0,0.4090909090909091,3,0.0,0,f050
207,FECHTOR DETWILER MITCHELL & CO,fechtor detwiler mitchell,7.666666666666667,2.3333333333333335,0,1,0,0.30434782608695654,4,0.6666666666666666,0,d030
208,DETWILER MITCHELL & CO,detwiler mitchell,8.0,2.5,1,0,0,0.3125,3,0.5,1,d030
209,WESTERN PUBLISHING GROUP INC,western publishing,8.5,2.5,0,0,1,0.29411764705882354,2,0.0,1,p014
210,GOLDEN BOOKS FAMILY ENT INC,golden books family ent,5.0,1.75,0,1,0,0.4,3,0.0,0,g043
211,ROCHESTER COMMUNITY SVGS BK NY,rochester community svgs bk ny,5.2,2.0,0,1,0,0.3076923076923077,3,0.0,0,r020
212,AKORN INC,akorn,5.0,2.0,1,0,0,0.4,1,1.0,1,a206
213,MUNICIPAL DEVELOPMENT CORP,municipal development,10.0,4.0,0,1,0,0.4,3,0.0,1,d010
214,TECH DATA CORP,tech data,4.0,1.5,0,1,0,0.375,2,0.0,1,t020
215,ALFA INTERNATIONAL CORP,alfa international,8.5,3.5,1,0,0,0.47058823529411764,4,0.0,1,i530
216,MERRILL CORP,merrill,7.0,2.0,0,1,0,0.2857142857142857,2,0.0,1,m060
217,SOUTHWEST CAPITAL CORP,southwest capital,8.0,2.5,0,1,0,0.375,3,0.0,1,s030
218,HEALTHPLEX INC,healthplex,10.0,2.0,0,1,0,0.3,2,1.0,1,h043
219,AMERICAN BOSCH ARMA CORP,american bosch arma,5.666666666666667,2.3333333333333335,1,0,0,0.4117647058823529,4,0.0,0,a506
220,AMBAC INDUSTRIES INC,ambac industries,7.5,2.5,1,0,0,0.4,2,0.5,1,i530
221,COLOROCS CORP,colorocs,8.0,3.0,1,0,0,0.375,3,1.0,1,c040
222,TEXCEL INTERNATIONAL INC,texcel international,9.5,3.5,0,1,0,0.42105263157894735,3,0.5,1,i530
223,RUBICON CORP,rubicon,7.0,3.0,0,1,0,0.42857142857142855,1,0.0,1,r010
224,OSPREY HOLDING INC,osprey,6.0,2.0,0,1,0,0.5,1,0.0,1,o216
225,SOMERSET GROUP INC,somerset,8.0,3.0,0,1,0,0.375,2,0.0,1,s050
226,COMMONWEALTH TELE ENTRPS INC,commonwealth tele entrps,7.333333333333333,2.0,1,0,0,0.3181818181818182,4,0.3333333333333333,0,c050
227,AMERICAN & FGN PWR INC,american fgn pwr,4.666666666666667,2.0,1,0,0,0.2857142857142857,2,0.0,0,a506
228,DEL PAINT CORP,del paint,4.0,1.0,1,0,0,0.375,1,0.0,1,p053
